id,name,feels_like,humidity,pressure,temperature,temp_max,temp_min,weather,wind_speed,datetime,timezone,country,sunrise,sunset,latitude,longitude,clouds
2127202,Anadyr,245.17,84,1004,257.09,257.15,257.04,few clouds,12.0,1586059978,43200,RU,1586020350,1586070764,64.75,177.48,20
494877,Shentala,272.42,86,1014,276.23,276.23,276.23,light rain,2.82,1586059978,14400,RU,1586051745,1586099837,54.45,51.48,63
1028434,Quelimane,296.79,94,1013,294.15,294.15,294.15,scattered clouds,1.5,1586059979,7200,MZ,1586057964,1586100620,-17.88,36.89,40
495062,Sheksna,267.54,91,1017,271.8,271.8,271.8,broken clouds,2.75,1586059979,10800,RU,1586054379,1586103427,59.21,38.51,70
2172797,Cairns,306.88,74,1009,303.54,305.37,300.93,clear sky,4.6,1586059980,36000,AU,1586031803,1586074529,-16.92,145.77,8
475469,Verkhnetulomskiy,259.66,85,1006,266.15,266.15,266.15,shower snow,5.0,1586059980,10800,RU,1586054463,1586106563,68.61,31.8,75
528242,Mayskiy,271.42,55,1023,276.15,276.15,276.15,clear sky,3.0,1586059981,10800,RU,1586054975,1586102069,47.69,40.1,2
1495797,Ovsyanka,272.15,41,1036,277.15,277.15,277.15,clear sky,3.0,1586059981,25200,RU,1586041769,1586090103,55.96,92.55,0
3867427,Mayor Pablo Lagerenza,298.83,63,1009,297.99,297.99,297.99,broken clouds,2.38,1586059981,-14400,PY,1586081464,1586123987,-19.93,-60.77,72
918702,Chipata,287.08,71,1015,287.99,287.99,287.99,few clouds,1.23,1586059983,7200,ZM,1586058866,1586101752,-13.63,32.65,18
2109528,Buala,304.23,69,1005,303.23,303.23,303.23,few clouds,6.68,1586059983,39600,SB,1586028257,1586071443,-8.14,159.59,18
2180815,Tuatapere,292.52,55,1018,293.71,293.71,293.71,overcast clouds,2.24,1586059983,43200,NZ,1586027543,1586068274,-46.13,167.68,100
4023117,Dolores Hidalgo Cuna de la Independencia Nacional,293.19,25,1021,296.63,297.15,295.93,scattered clouds,2.6,1586059886,-21600,MX,1586003607,1586048352,21.16,-100.93,40
482986,Tim,268.81,68,1026,272.23,273.71,271.15,clear sky,1.0,1586059983,10800,RU,1586055415,1586103058,51.62,37.12,0
1732826,Mersing,311.56,70,1012,306.15,306.15,306.15,scattered clouds,3.1,1586059984,28800,MY,1586041364,1586085090,2.43,103.84,40
3985710,Cabo San Lucas,293.98,56,1013,294.11,295.37,292.04,broken clouds,1.0,1586059801,-25200,MX,1586005708,1586050561,22.89,-109.91,75
86049,Jalu,284.62,72,1014,288.25,288.25,288.25,clear sky,5.28,1586059985,7200,LY,1586060310,1586105635,29.03,21.55,6
1490256,Talnakh,262.6,92,1007,273.15,273.15,273.15,snow,12.0,1586059985,25200,RU,1586040709,1586093155,69.49,88.4,100
1267390,Kavaratti,307.16,66,1013,303.15,303.15,303.15,few clouds,1.72,1586059985,19800,IN,1586048632,1586092795,10.57,72.64,20
699706,Novooleksiyivka,274.61,67,1026,280.29,280.29,280.29,scattered clouds,5.59,1586059985,10800,UA,1586056374,1586103289,46.23,34.64,35
5374920,Morro Bay,282.86,81,1012,284.7,286.48,283.15,overcast clouds,2.1,1586059915,-25200,US,1586007886,1586053632,35.37,-120.85,90
3466165,Cidreira,291.69,71,1015,292.49,292.49,292.49,clear sky,2.92,1586059986,-10800,BR,1586079243,1586121140,-30.18,-50.21,0
110690,Faya,287.27,76,1025,288.15,289.15,287.15,clear sky,1.64,1586059986,10800,SA,1586055649,1586100266,18.39,42.45,8
142255,Bāfq,285.21,20,1018,290.37,290.37,290.37,clear sky,3.5,1586059987,16200,IR,1586052093,1586097602,31.61,55.41,4
262143,Galatas,280.24,76,1004,283.88,284.82,282.59,overcast clouds,4.1,1586059987,10800,GR,1586059511,1586105522,37.5,23.45,90
2208248,Kaitangata,287.82,82,1003,288.15,288.15,288.15,overcast clouds,1.34,1586059987,43200,NZ,1586027029,1586067747,-46.28,169.85,89
2514301,Mahon,280.2,93,1020,282.15,282.15,282.15,clear sky,2.1,1586060048,7200,ES,1586063997,1586110241,39.89,4.27,0
5225535,Narragansett,274.09,81,1017,277.41,280.37,275.37,scattered clouds,2.19,1586060048,-14400,US,1586082071,1586128505,41.45,-71.45,40
3374083,Bathsheba,300.34,83,1013,299.15,299.15,299.15,scattered clouds,5.7,1586060048,-14400,BB,1586080262,1586124589,13.22,-59.52,40
608270,Shubarshi,272.75,66,1021,277.9,277.9,277.9,clear sky,4.31,1586060049,18000,KZ,1586050820,1586098021,48.59,57.19,0
1259411,Ponnāni,309.02,70,1013,304.15,304.15,304.15,scattered clouds,2.1,1586060050,19800,IN,1586047837,1586092011,10.77,75.93,40
685025,Bereşti-Tazlău,270.92,64,1029,275.87,276.15,275.37,overcast clouds,3.6,1586060050,10800,RO,1586058270,1586105219,46.47,26.67,99
1822207,Sisophon,310.98,47,1013,307.66,307.66,307.66,light rain,1.62,1586060050,25200,KH,1586041272,1586085600,13.59,102.97,1
3372707,Ribeira Grande,285.18,76,1004,287.88,287.88,287.88,few clouds,4.13,1586060050,0,PT,1586071967,1586118093,38.52,-28.7,14
783768,Zvečka,273.95,60,1023,278.68,280.93,277.15,broken clouds,3.6,1586060051,7200,RS,1586059938,1586106674,44.64,20.16,82
1235846,Matara,304.96,75,1013,301.26,301.26,301.26,overcast clouds,2.41,1586059950,19800,LK,1586046862,1586090774,5.95,80.54,95
2140558,Koumac,302.04,66,1006,302.08,302.08,302.08,scattered clouds,6.72,1586060051,39600,NC,1586027460,1586069989,-20.57,164.28,34
485660,Tsimmerbude,270.26,82,1031,275.15,275.15,275.15,clear sky,4.0,1586060051,7200,RU,1586059237,1586107390,54.67,20.13,0
2251688,Gandiaye,294.27,47,1011,297.21,299.15,295.15,clear sky,5.1,1586060051,0,SN,1586069858,1586114237,14.23,-16.27,0
1651591,Amahai,307.15,70,1011,302.23,302.23,302.23,light rain,0.5,1586060052,32400,ID,1586035494,1586078924,-3.33,128.92,12
371466,Leer,299.62,47,1007,299.02,299.02,299.02,broken clouds,0.8,1586060053,10800,SS,1586058890,1586102933,8.3,30.14,72
1489656,Teya,269.38,87,1038,273.43,273.43,273.43,scattered clouds,2.62,1586060053,25200,RU,1586041280,1586090553,60.38,92.63,35
3471837,Araguaçu,299.8,69,1011,297.57,297.57,297.57,clear sky,1.02,1586060054,-10800,BR,1586078643,1586121557,-12.93,-49.83,0
1314759,Lashio,300.15,18,1013,302.1,302.1,302.1,scattered clouds,0.45,1586060054,23400,MM,1586042244,1586087133,22.93,97.75,37
2170260,Corowa,283.27,67,1012,288.19,289.26,287.59,overcast clouds,6.7,1586060055,36000,AU,1586032240,1586073799,-36.03,146.38,90
4034551,Faanui,305.08,72,1010,301.8,301.8,301.8,few clouds,2.88,1586060055,-36000,PF,1586016794,1586059553,-16.48,-151.75,13
3533462,Acapulco de Juárez,303.28,83,1011,299.15,299.15,299.15,few clouds,1.5,1586060055,-21600,MX,1586003484,1586047976,16.86,-99.89,20
7647007,Bariloche,274.73,65,1011,280.15,280.15,280.15,clear sky,5.1,1586060056,-10800,AR,1586084721,1586125788,-41.15,-71.31,0
2415702,Siguiri,299.04,16,1008,301.39,301.39,301.39,clear sky,0.53,1586060056,0,GN,1586068307,1586112539,11.67,-9.5,0
5546220,Saint George,281.32,29,1007,286.39,290.15,280.15,clear sky,3.6,1586059954,-21600,US,1586006071,1586051959,37.1,-113.58,1
3661894,Tonantins,301.7,93,1010,297.23,297.23,297.23,light rain,1.01,1586060056,-14400,BR,1586082688,1586126137,-2.87,-67.8,100
